학교명,지역,학교 학생 수,동질화 지수(H_m),P_special,I_SCU,H_path,H_job,H_ppc,1위 업종,R_net,,,
대구성지초등학교,달서구,340,1.079389834,2.941176,0.963922,1,0.3515,0.4321,,-4.117647059,1.109620296,1.109620296,0.862758034
대구용산초등학교,달서구,393,1.077098405,7.633588,0.94828,1,0.3515,0.4321,,6.106870229,1.010321897,1.010321897,0.8167824561
대구외국어고등학교,달서구,294,1.076529415,0,0.973726,0.626906,0.3515,0.4321,,0,1.005608519,1.005608519,0.7710446172
대구화남초등학교,달성군,388,1.067985165,2.57732,0.94738,1,0.3487,0.4321,,4.332129964,1.018289152,1.018289152,0.8198932365
불로중학교,동구,258,1.067828044,4.651163,0.947122,0.347845,0.3499,0.4321,,0.0488997555,0.9350248767,0.9350248767,0.712378681
신아중학교,동구,255,1.066369935,7.843137,0.936482,0.383871,0.3499,0.4321,,0.0488997555,0.9414849706,0.9414849706,0.7158401429
대구욱수초등학교,수성구,588,1.06591996,2.380952,0.971735,1,0.3313,0.4693,기타 개인 서비스업 복합코드,12.58503401,0.854397124,0.854397124,0.8294377643
대구사월초등학교,수성구,1169,1.064752878,0,0.979671,1,0.3313,0.4693,기타 개인 서비스업 복합코드,2.994011976,0.8575632168,1.161385614,1.280811018
대구용계초등학교,달성군,391,1.064635179,4.092072,0.942331,1,0.3487,0.4321,,4.859335038,1.010744807,1.010744807,0.8158497729
대구중학교,남구,301,1.063321246,11.295681,0.904254,0.57228,0.3552,0.5969,보건업 복합코드,1.19760479,0.9532076572,0.9532076572,0.7609167238
경상중학교부설방송통신중학교,남구,310,1.062797532,0,0.941907,0.693446,0.3552,0.5969,보건업 복합코드,0,1.015146354,1.015146354,0.8050965485
동촌중학교,동구,257,1.058861243,3.891051,0.949655,0.214597,0.3499,0.4321,,0.0488997555,0.907330607,0.907330607,0.6938710128
대명중학교,남구,279,1.055053791,8.602151,0.913233,0.231672,0.3552,0.5969,보건업 복합코드,1.19760479,0.8854227199,0.8854227199,0.7112716206
대구동원초등학교,수성구,406,1.054405791,0.738916,0.977208,1,0.3313,0.4693,기타 개인 서비스업 복합코드,2.709359606,1.003421224,1.003421224,0.8205834129
대구매천초등학교,북구,351,1.053611493,4.558405,0.954523,1,0.3493,0.4321,,-2.849002849,1.08559476,1.08559476,0.8506176073
서변중학교,북구,288,1.05084641,2.083333,0.962774,0.335047,0.3493,0.4321,,0.5465547531,0.9043052232,0.9043052232,0.7001515279
대구수성초등학교,수성구,717,1.048298434,3.34728,0.968514,1,0.3313,0.4693,기타 개인 서비스업 복합코드,7.391910739,0.8531161151,0.8531161151,0.927416433
대구효명초등학교,남구,362,1.045529472,1.104972,0.938223,1,0.3552,0.5969,보건업 복합코드,-1.38121547,1.077930386,1.077930386,0.8689398813
관음중학교,북구,284,1.04364935,4.225352,0.955633,0.436748,0.3493,0.4321,,-0.8176918788,0.934346035,0.934346035,0.719207533
화원중학교,달성군,278,1.041174124,5.395683,0.937986,0.394799,0.3487,0.4321,,0.1910219675,0.9159289628,0.9159289628,0.7050461906
대구동도초등학교,수성구,1409,1.037012455,1.135557,0.975886,1,0.3313,0.4693,기타 개인 서비스업 복합코드,1.632363378,0.8560514276,1.327054417,1.463728586
대구동호초등학교,동구,360,1.032298497,5,0.945959,1,0.3499,0.4321,,-7.222222222,1.065838867,1.065838867,0.8407572455
대구서변초등학교,북구,363,1.031191028,5.509642,0.951353,1,0.3493,0.4321,,-4.132231405,1.063308496,1.063308496,0.8403497916
대구도림초등학교,달성군,291,1.028889433,4.123711,0.942226,0.490737,0.3487,0.4321,,-2.405498282,0.9340503628,0.9340503628,0.721063037
대구대곡초등학교,달서구,374,1.027840158,0.534759,0.971943,1,0.3515,0.4321,,-2.673796791,1.054620039,1.054620039,0.8396950228
대구국우초등학교,북구,367,1.027292909,4.359673,0.955186,1,0.3493,0.4321,,0,1.058307987,1.058307987,0.8386941503
대구신흥초등학교,달서구,313,1.027108121,1.916933,0.967336,0.546415,0.3515,0.4321,,-1.916932907,0.9416558073,0.9416558073,0.7336369872
